"company_name","job_title","salary_year_avg","required_skills"
"Mantys","Data Analyst","650000.0","No skills listed"
"Meta","Director of Analytics","336500.0","No skills listed"
"AT&T","Associate Director- Data Insights","255829.5","aws, azure, databricks, excel, jupyter, pandas, power bi, powerpoint, pyspark, python, r, sql, tableau"
"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","hadoop, python, r, sql, tableau"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","crystal, flow, oracle, sql, tableau"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","excel, gitlab, go, numpy, pandas, python, snowflake, sql, tableau"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","atlassian, aws, azure, bitbucket, confluence, jenkins, jira, oracle, power bi, python, sap, snowflake, sql, tableau"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","atlassian, bitbucket, confluence, git, jira, python, r, sql"
"SmartAsset","Principal Data Analyst","186000.0","excel, gitlab, go, numpy, pandas, python, snowflake, sql, tableau"
"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","python, r, sql"
